Year,H_AB,R_G,HR_G,BB_G,SO_G,MOVING_AVG_CRITERIA
1871,0.283573411,10.34766291,0.185187519,1.562694129,0.696863014,0
1872,0.274701246,8.655885281,0.077646178,0.620628791,0.67433911,0
1873,0.270548894,8.12888709,0.095237829,0.716228129,0.72573118,0
1874,0.270828856,7.321802044,0.079421099,0.512597091,0.788483858,0
1875,0.236799585,5.391364539,0.042701507,0.364396511,1.189700538,0
1876,0.263648983,5.876583897,0.076283553,0.640081834,1.115407575,0
1877,0.270523334,5.660022926,0.066649394,0.960203505,2.015317819,0
1878,0.259161482,5.174785604,0.062319844,0.988374688,2.933870408,0
1879,0.25397994,5.264189613,0.088831156,0.781711595,2.883037433,0
1880,0.244322684,4.686548685,0.090920851,1.088562626,2.935779279,0
1881,0.259938627,5.096513364,0.11312287,1.535962337,2.654223195,0
1882,0.247610739,5.324917551,0.153942259,1.392246165,2.915563808,0
1883,0.256936817,5.752777576,0.151622589,1.483499421,3.370847481,0
1884,0.237433465,5.164259984,0.199005384,1.547506743,5.009846833,0
1885,0.243629971,5.213526869,0.181072059,1.983748238,3.775172898,0
1886,0.246185871,5.469059834,0.199333468,2.630258555,4.283106995,0
1887,0.270284783,6.338475866,0.289900828,2.857605155,2.806576583,0
1888,0.23838595,4.872065391,0.23916949,2.167400537,3.778289353,0
1889,0.263688398,5.964889173,0.306888554,3.365427415,3.517883205,0
1890,0.258706817,5.981999092,0.231067237,3.63163869,3.389781973,0
1891,0.253733198,5.72095968,0.268243163,3.60543537,3.445730741,0
1892,0.244778951,5.109816772,0.226843933,3.361226837,3.253612391,0
1893,0.279335833,6.56846751,0.291977679,3.913569166,2.129509882,0
1894,0.308653637,7.392584183,0.393573068,3.678277539,2.090807375,0
1895,0.296123442,6.599182244,0.305960098,3.212307743,2.272889482,0
1896,0.290212494,6.03705556,0.254951585,3.063870828,2.221531026,0
1897,0.29130424,5.903826498,0.227774922,2.928389758,2.311904911,0
1898,0.27052898,4.96139284,0.16254618,2.765932343,2.295765276,0
1899,0.282328436,5.253246611,0.190903876,2.704136339,2.089642584,0
1900,0.279211205,5.216647621,0.22304382,2.667593976,2.368407573,0
1901,0.271806173,4.991983938,0.204940139,2.463555169,3.135034232,0
1902,0.266571976,4.43332475,0.160120338,2.436662699,2.972613728,0
1903,0.261880414,4.436216885,0.150016455,2.409047853,1.894245481,0
1904,0.246836183,3.726298082,0.132698254,2.233674781,2.007503185,0
1905,0.247932859,3.896759333,0.136791718,2.501692135,3.85,0
1906,0.246399082,3.614977955,0.107388764,2.51205853,3.71,0
1907,0.245239362,3.527843485,0.099513338,2.474187282,3.58,0
1908,0.238845673,3.383706952,0.10732864,2.353560547,3.65,0
1909,0.243726797,3.548360922,0.104833866,2.619741267,3.78,0
1910,0.249318342,3.839013524,0.144750346,2.974099015,1.777186973,0
1911,0.266244558,4.513184171,0.207821093,3.165581857,1.925227135,0
1912,0.268623883,4.529472413,0.180219013,3.119636897,1.887252777,0
1913,0.258644093,4.036146538,0.189348982,2.948291699,3.757756441,0
1914,0.253840374,3.865854182,0.189495477,2.962806138,3.969186887,0
1915,0.250255731,3.813326781,0.170728888,2.98237179,3.805235658,0
1916,0.247553034,3.563894677,0.153826778,2.834855156,3.823543764,0
1917,0.248481939,3.58793967,0.134442281,2.77134638,3.480586908,0
1918,0.253784332,3.633221087,0.115315979,2.828680615,2.914950368,0
1919,0.262820645,3.87139145,0.199914423,2.675689315,3.062377769,0
1920,0.276407365,4.361219174,0.255381158,2.765688934,2.951830281,0
1921,0.290871933,4.855658088,0.381243725,2.794888876,2.8321491,0
1922,0.288297632,4.86959999,0.426380239,2.928610872,2.809033339,0
1923,0.283964319,4.816505473,0.397877195,3.076625586,2.846764572,0
1924,0.286301657,4.760313034,0.364704161,2.983002593,2.704297767,0
1925,0.291445382,5.128129973,0.475948034,3.153766056,2.720643796,0
1926,0.28048691,4.634864906,0.349938077,3.121061386,2.760542981,0
1927,0.283523997,4.748881033,0.372841719,3.005067695,2.764495119,0
1928,0.280880981,4.730424297,0.444039771,3.117796613,2.895179739,0
1929,0.288993938,5.185552117,0.548938718,3.260704451,2.864151984,0
1930,0.295391032,5.547931235,0.633600774,3.10580045,3.215086996,0
1931,0.277430963,4.810378113,0.432794202,3.101620819,3.199828918,0
1932,0.276414372,4.913153107,0.550231755,3.059520515,3.197283081,0
1933,0.269366967,4.485081781,0.435379597,3.002513601,3.031772587,0
1934,0.27887334,4.903972079,0.549028589,3.210848633,3.445952007,0
1935,0.278421979,4.898364594,0.540027842,3.190652799,3.260060296,0
1936,0.28362214,5.189604509,0.550798723,3.399084337,3.321557303,0
1937,0.276296665,4.868520768,0.576869268,3.404576876,3.630970037,0
1938,0.273873831,4.891080059,0.601545766,3.526449873,3.409738056,0
1939,0.275285718,4.823610507,0.587222615,3.444143902,3.453794885,0
1940,0.267313583,4.677222482,0.635023321,3.346228235,3.662914704,0
1941,0.262326943,4.487952843,0.534936882,3.572710311,3.552993285,0
1942,0.25277303,4.080393499,0.436932778,3.429257349,3.403795604,0
1943,0.253339788,3.915265682,0.36529172,3.383472846,3.457179368,0
1944,0.260288052,4.165657069,0.415918269,3.193390486,3.294937832,0
1945,0.260131928,4.179151825,0.409379071,3.371438977,3.274564223,0
1946,0.255560459,4.006516085,0.489344525,3.542403591,3.905344454,0
1947,0.260490685,4.353850682,0.629114201,3.707773604,3.685152152,0
1948,0.263260432,4.577742739,0.628104659,3.894925551,3.650671455,0
1949,0.262639322,4.605865098,0.686784589,4.045251424,3.611425613,0
1950,0.265761796,4.851024467,0.837188026,4.020348494,3.864447097,0
1951,0.260816899,4.545961939,0.750769311,3.733154694,3.76873727,0
1952,0.252634852,4.177541933,0.686956056,3.542090467,4.195011084,0
1953,0.264195434,4.607816297,0.83678378,3.506134316,4.12150988,0
1954,0.260927925,4.376577522,0.783137259,3.65048181,4.128746086,0
1955,0.258487433,4.485910461,0.901695885,3.666467269,4.385540199,0
1956,0.258076923,4.452584256,0.925914381,3.63412267,4.643389635,0
1957,0.257410029,4.306451491,0.891627081,3.310322795,4.84273584,0
1958,0.257856059,4.283170278,0.907070656,3.290339254,4.951395347,0
1959,0.256558972,4.383586312,0.908800024,3.305186066,5.091725458,0
1960,0.255068274,4.313973426,0.86087189,3.392071101,5.184515988,0
1961,0.25831551,4.524682235,0.95456921,3.455243604,5.229905049,0
1962,0.257590611,4.458711404,0.925404099,3.373260258,5.419715195,0
1963,0.246122689,3.947211026,0.835398081,2.96198336,5.797569863,0
1964,0.250363927,4.035457458,0.849166741,2.958342385,5.907308483,0
1965,0.245460014,3.988856284,0.828211276,3.092358305,5.940218756,0
1966,0.248337663,3.993533742,0.84924984,2.88840542,5.822628873,0
1967,0.242184706,3.768174728,0.709481637,2.982679029,5.99198665,0
1968,0.236467431,3.417515392,0.613586166,2.817045171,5.89033622,0
1969,0.247963228,4.072400083,0.801417415,3.45055992,5.773942246,0
1970,0.253819543,4.341669007,0.881870811,3.530438423,5.754846893,0
1971,0.249186899,3.888871094,0.738740416,3.235451011,5.407532078,0
1972,0.243611761,3.687049676,0.681612756,3.154403219,5.573684759,0
1973,0.256891106,4.213886333,0.798162206,3.371122805,5.238763004,0
1974,0.256749652,4.124915116,0.680814855,3.332369231,5.011211544,0
1975,0.257508821,4.212904036,0.697888358,3.464151493,4.983978093,0
1976,0.255304196,3.995010535,0.576439588,3.194824354,4.832402066,0
1977,0.264086981,4.47053671,0.866328384,3.270858771,5.164574154,0
1978,0.257794772,4.10296605,0.703032532,3.226673092,4.770851232,0
1979,0.265359242,4.460694504,0.818903615,3.241832885,4.77472541,0
1980,0.264476177,4.288374881,0.733314398,3.13295535,4.80103023,0
1981,0.255651734,3.999012963,0.637845831,3.180847413,4.744613825,0
1982,0.261099104,4.297194985,0.801656383,3.15649124,5.036024738,0
1983,0.260723588,4.308017117,0.782721293,3.205016051,5.14864483,0
1984,0.259777046,4.256458241,0.773777471,3.163634818,5.344266326,0
1985,0.256978389,4.330885206,0.856464197,3.290139198,5.337709112,0
1986,0.257606102,4.408502508,0.906316299,3.382801624,5.874242865,0
1987,0.262949954,4.7227236,1.058936903,3.417880295,5.961725741,0
1988,0.254128067,4.137752924,0.75722304,3.09180901,5.560572349,0
1989,0.254064408,4.132207402,0.732073944,3.211509456,5.615067403,0
1990,0.257842386,4.256302608,0.787853987,3.290406588,5.665820224,0
1991,0.25562827,4.307516365,0.803965876,3.322915782,5.795927618,0
1992,0.255661546,4.117046534,0.721272555,3.248338082,5.588319088,0
1993,0.26503199,4.597659082,0.888065212,3.329792471,5.797853031,0
1994,0.269646265,4.92461693,1.033984831,3.479769581,6.174898616,0
1995,0.2667181,4.846541952,1.011500257,3.529440902,6.303209972,0
1996,0.269763634,5.035478807,1.094334167,3.549356716,6.463774962,0
1997,0.266672953,4.766997218,1.023846495,3.456772322,6.605186116,0
1998,0.266113774,4.789556086,1.041029275,3.381105093,6.556716469,0
1999,0.271091256,5.084275336,1.138231712,3.683917106,6.408620249,0
2000,0.270378593,5.140284746,1.171902239,3.754149051,6.454611718,0
2001,0.263844065,4.775470951,1.123557754,3.253591238,6.670257905,0
2002,0.261239657,4.617935741,1.042579812,3.348104695,6.470771669,0
2003,0.264091453,4.727723944,1.071305482,3.269316874,6.337775545,0
2004,0.26594105,4.813387266,1.122329576,3.340335608,6.554600874,0
2005,0.264420614,4.59171148,1.031821051,3.127633871,6.30239592,0
2006,0.269273424,4.857712854,1.108673926,3.26200956,6.515691537,0
2007,0.267952516,4.796744427,1.019527128,3.306947916,6.620245399,0
2008,0.26366167,4.650680064,1.004510448,3.364351042,6.772579402,0
2009,0.262357349,4.612710095,1.037365943,3.419727275,6.912007254,0
2010,0.257240424,4.38436214,0.949176955,3.246502058,7.058847737,0
2011,0.254939996,4.283102012,0.936971858,3.091360581,7.099376326,0
2012,0.254436074,4.324485597,1.015226337,3.02654321,7.495061728,0
2013,0.253361326,4.165890328,0.95862304,3.01101896,7.550672827,0
2014,0.251057485,4.066049383,0.861316872,2.884773663,7.703909465,0
2015,0.254381286,4.250089461,1.010455487,2.896941697,7.708025969,0
2016,0.255267897,4.47769215,1.155146589,3.107048284,8.027380313,0
2017,0.254882071,4.646502058,1.25617284,3.256995885,8.251851852,0